T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20
26.542,26.067,26.49,27.534,26.044,25.948,27.829,28.187,26.413,29.078,29.116,29.653,29.2,28.504,30.344,20.844,21.181,27.949,28.316,19.366
26.539,26.012,26.311,27.417,26.057,25.899,27.715,28.059,26.342,28.999,29.034,29.533,29.111,28.428,30.256,20.789,21.135,27.955,28.275,19.322
26.465,26.03,26.317,27.446,25.996,25.844,27.619,27.942,26.223,28.892,28.997,29.504,29.013,28.379,30.216,20.8,21.118,27.87,28.229,19.462
26.509,26.035,26.249,27.359,26.012,25.816,27.482,27.826,26.167,28.829,28.908,29.417,28.923,28.275,30.134,20.811,21.092,27.793,28.147,19.454
26.515,26.127,26.14,27.176,25.996,25.767,27.294,27.681,26.077,28.755,28.829,29.292,28.852,28.24,30.047,20.803,21.147,27.757,28.126,19.454
26.477,26.193,26.162,27.156,25.955,25.736,27.231,27.587,25.951,28.634,28.798,29.232,28.739,28.134,29.979,20.813,21.076,27.699,28.051,19.445
26.458,26.093,25.995,27.123,25.953,25.674,27.061,27.447,25.923,28.559,28.677,29.116,28.717,28.101,29.883,20.807,21.18,27.648,27.966,19.458
26.411,25.804,25.947,27.248,25.906,25.6,26.923,27.363,25.831,28.484,28.607,29.076,28.616,27.97,29.758,20.788,21.128,27.579,27.92,19.442
26.406,25.73,25.906,27.194,25.862,25.542,26.847,27.23,25.709,28.397,28.514,28.987,28.562,27.932,29.712,20.818,21.12,27.506,27.847,19.406
26.321,25.956,25.876,26.962,25.816,25.507,26.708,27.083,25.611,28.299,28.468,28.867,28.445,27.87,29.638,20.763,21.051,27.427,27.825,19.428
26.253,25.804,25.849,26.984,25.775,25.428,26.542,26.985,25.515,28.217,28.392,28.785,28.385,27.769,29.565,20.772,21.018,27.337,27.792,19.42
26.229,25.586,25.735,27.08,25.734,25.336,26.43,26.884,25.428,28.097,28.289,28.722,28.295,27.636,29.44,20.78,20.971,27.318,27.691,19.387
26.221,25.738,25.634,26.769,25.715,25.314,26.349,26.742,25.328,28.037,28.215,28.578,28.2,27.638,29.361,20.722,20.993,27.225,27.607,19.403
26.147,25.597,25.588,26.894,25.631,25.218,26.245,26.647,25.221,27.92,28.166,28.507,28.096,27.551,29.282,20.736,21.037,27.16,27.55,19.439
26.098,25.36,25.52,26.957,25.62,25.15,26.082,26.546,25.17,27.822,28.038,28.431,28.042,27.464,29.189,20.73,21.018,27.092,27.468,19.428
26.112,25.542,25.463,26.592,25.56,25.096,26.046,26.378,25.058,27.77,27.989,28.3,27.933,27.371,29.132,20.763,20.963,27.015,27.433,19.461
26.003,25.254,25.359,26.886,25.517,25.006,25.867,26.326,25.014,27.632,27.883,28.284,27.895,27.317,29.012,20.736,21.004,26.939,27.343,19.39
26.025,25.433,25.204,26.535,25.506,24.995,25.79,26.19,24.914,27.591,27.831,28.123,27.769,27.284,28.944,20.722,20.985,26.926,27.31,19.359
25.946,25.12,25.19,26.813,25.427,24.894,25.717,26.105,24.848,27.446,27.717,28.058,27.704,27.135,28.83,20.739,20.965,26.838,27.207,19.439
25.899,25.262,25.198,26.437,25.386,24.851,25.589,25.966,24.742,27.384,27.657,27.944,27.595,27.091,28.794,20.648,20.877,26.773,27.177,19.403
25.823,24.974,25.105,26.625,25.342,24.766,25.489,25.91,24.681,27.301,27.563,27.896,27.573,27.025,28.669,20.678,20.938,26.695,27.07,19.337
25.81,24.797,25.007,26.203,25.247,24.717,25.337,25.753,24.61,27.192,27.478,27.782,27.472,27.074,28.584,20.719,20.973,26.627,26.983,19.461
25.916,25.042,25.156,26.415,25.307,24.851,25.222,25.663,24.542,27.145,27.405,27.697,27.429,27.006,28.532,20.76,21.059,26.581,26.901,19.524
26.05,25.086,25.256,26.571,25.445,25.012,25.175,25.602,24.513,27.112,27.382,27.624,27.388,26.981,28.488,20.772,21.008,26.599,26.97,19.555
